CAMX IPR data extraction by EXT_IPR,CAMx v3.10 OTAG Test problem July 07                                            
The header from the first CAMx IPR file follows: 
     95188,      0.00,     95189,      0.00
Number of grids: ,         2
x-origin,y-origin,# cols,# rows,x-width,y-width
  -99.0000,   26.0000,        64,        63,    0.5000,    0.3333
  -91.8333,   32.1110,       137,       110,    0.1667,    0.1111
Number of species: ,        15
NO        
NO2       
O3        
PAR       
TOL       
ETH       
OLE       
PAN       
ISOP      
XYL       
FORM      
ALD2      
HNO3      
NXOY      
NTR       
Number of sub-domains: ,         2
grid #,I-begin,I-end,J-begin,J-end,Layer-begin,Layer-end
         1,         8,        12,         9,        13,         1,         5
         2,       107,       110,        78,        82,         1,         7
Number of processes: ,        24
Initial concentration    
Chemistry                
Area emissions           
Point source emissions   
Plume-in-Grid change     
West boundary advection  
East boundary advection  
South boundary advection 
North boundary advection 
Bottom boundary advection
Top boundary advection   
Dilution in the vertical 
West boundary diffusion  
East boundary diffusion  
South boundary diffusion 
North boundary diffusion 
Bottom boundary diffusion
Top boundary diffusion   
Dry deposition           
Wet deposition           
Fastaero                 
Final concentration      
Units conversion         
Average cell volume      
End of the CAMx IPR file header.
EXT_IPR extracted data for the following cells:  
grid #,I-begin,I-end,J-begin,J-end,Layer-begin,Layer-end
         1,         8,        12,         9,        13,         1,         5
The extracted data follow: 
Date,Time,Species,Initial concentration    ,Chemistry                ,Area emissions           ,Point source emissions   ,Plume-in-Grid change     ,West boundary advection  ,East boundary advection  ,South boundary advection ,North boundary advection ,Bottom boundary advection,Top boundary advection   ,Dilution in the vertical ,West boundary diffusion  ,East boundary diffusion  ,South boundary diffusion ,North boundary diffusion ,Bottom boundary diffusion,Top boundary diffusion   ,Dry deposition           ,Wet deposition           ,Fastaero                 ,Final concentration      ,Units conversion         ,Total Volume             ,Absolute Error,Relative Error
     95188,    100.00,NO        , 0.49933067E-04,-0.13217542E+00, 0.48949815E-01, 0.86510688E-01, 0.00000000E+00,-0.22857448E-02,-0.18142275E-04,-0.31475189E-04,-0.78530004E-03, 0.00000000E+00, 0.50112021E-06, 0.00000000E+00,-0.51293522E-04,-0.23848839E-04,-0.13219916E-04,-0.11540877E-03, 0.00000000E+00, 0.00000000E+00,-0.11302475E-04, 0.00000000E+00, 0.00000000E+00, 0.10116482E-11, 0.29695790E-01, 0.17915106E+15, 0.21375811E-06, 0.16172304E-05
     95188,    100.00,NO2       , 0.86490631E-01, 0.74862950E-01, 0.52057034E-02, 0.96122911E-02, 0.00000000E+00,-0.58797756E-02, 0.16775547E-02,-0.49940654E-03,-0.30873626E-03, 0.00000000E+00, 0.87491493E-03, 0.00000000E+00,-0.71059818E-04,-0.35157285E-04,-0.16664675E-04,-0.17278633E-03, 0.00000000E+00, 0.00000000E+00,-0.21513003E-03, 0.00000000E+00, 0.00000000E+00, 0.17152569E+00, 0.29695790E-01, 0.17915106E+15, 0.36283674E-06, 0.41950989E-05
     95188,    100.00,O3        , 0.35010761E+02,-0.15022492E+00, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00,-0.14431331E+01, 0.91844273E+00,-0.19441307E+00, 0.39307091E+00, 0.00000000E+00, 0.35415897E+00, 0.00000000E+00, 0.62960120E-04, 0.39960159E-04, 0.23866143E-04, 0.19114990E-03, 0.00000000E+00, 0.00000000E+00,-0.28589530E-01, 0.00000000E+00, 0.00000000E+00, 0.34860401E+02, 0.29695790E-01, 0.17915106E+15, 0.10058091E-04, 0.28728570E-06
     95188,    100.00,PAR       , 0.31118436E+01,-0.85080543E-03, 0.24067259E+00, 0.13388219E-01, 0.00000000E+00,-0.14012900E+00, 0.81529580E-01,-0.17325573E-01, 0.30361542E-01, 0.00000000E+00, 0.31478524E-01, 0.00000000E+00,-0.14826845E-03,-0.60851893E-04,-0.37734048E-04,-0.12855652E-03, 0.00000000E+00, 0.00000000E+00,-0.18975527E-03, 0.00000000E+00, 0.00000000E+00, 0.33504047E+01, 0.29695790E-01, 0.17915106E+15, 0.12289506E-05, 0.39492687E-06
     95188,    100.00,TOL       , 0.61094444E-02,-0.32709388E-05, 0.22145060E-02, 0.89637047E-04, 0.00000000E+00,-0.39403461E-03, 0.15957103E-03,-0.34175431E-04, 0.42676122E-04, 0.00000000E+00, 0.61801409E-04, 0.00000000E+00,-0.37150080E-05,-0.46587149E-06,-0.16147730E-06,-0.36149495E-05, 0.00000000E+00, 0.00000000E+00,-0.79011397E-05, 0.00000000E+00, 0.00000000E+00, 0.82303016E-02, 0.29695790E-01, 0.17915106E+15, 0.50001638E-08, 0.81843183E-06
     95188,    100.00,ETH       , 0.53734416E-02,-0.59169324E-04, 0.91841016E-02, 0.61141606E-03, 0.00000000E+00,-0.64605603E-03, 0.13270431E-03,-0.33230612E-04,-0.12203702E-03, 0.00000000E+00, 0.54356195E-04, 0.00000000E+00,-0.11102155E-04,-0.62878721E-05,-0.20680975E-05,-0.35561661E-04, 0.00000000E+00, 0.00000000E+00,-0.62918480E-05, 0.00000000E+00, 0.00000000E+00, 0.14434291E-01, 0.29695790E-01, 0.17915106E+15, 0.75334533E-07, 0.82027109E-05
     95188,    100.00,OLE       , 0.10109951E-05,-0.66891400E-03, 0.12515049E-01, 0.29998287E-02, 0.00000000E+00,-0.73190650E-03,-0.49169694E-05,-0.35113044E-05,-0.31905831E-03, 0.00000000E+00, 0.10226943E-07, 0.00000000E+00,-0.99504605E-05,-0.23116916E-05,-0.20450605E-05,-0.46534387E-05, 0.00000000E+00, 0.00000000E+00,-0.76376464E-05, 0.00000000E+00, 0.00000000E+00, 0.13761095E-01, 0.29695790E-01, 0.17915106E+15, 0.10015105E-06, 0.80024492E-05
     95188,    100.00,PAN       , 0.38761575E-01, 0.49250672E-03, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00,-0.16113444E-02, 0.10204614E-02,-0.21643932E-03, 0.43308915E-03, 0.00000000E+00, 0.39210095E-03, 0.00000000E+00,-0.23304020E-07,-0.13673246E-07,-0.33916795E-07,-0.92872654E-07, 0.00000000E+00, 0.00000000E+00,-0.25427149E-04, 0.00000000E+00, 0.00000000E+00, 0.39246336E-01, 0.29695790E-01, 0.17915106E+15,-0.25736481E-07, 0.66396893E-06
     95188,    100.00,ISOP      , 0.10109951E-05,-0.60221650E-04, 0.72818395E-04, 0.49396000E-07, 0.00000000E+00,-0.21962596E-05, 0.20807660E-08,-0.96850510E-08,-0.41733202E-06, 0.00000000E+00, 0.10226943E-07, 0.00000000E+00,-0.58026366E-07,-0.18832253E-07,-0.22970745E-08,-0.74270034E-07, 0.00000000E+00, 0.00000000E+00,-0.25958467E-07, 0.00000000E+00, 0.00000000E+00, 0.10866886E-04, 0.29695790E-01, 0.17915106E+15, 0.10547516E-09, 0.14484688E-05
     95188,    100.00,XYL       , 0.10109951E-05,-0.23358123E-05, 0.16959461E-02, 0.39760132E-04, 0.00000000E+00,-0.93908784E-04,-0.61471883E-06,-0.13022877E-06,-0.23858300E-04, 0.00000000E+00, 0.10226943E-07, 0.00000000E+00,-0.22826348E-05,-0.40316363E-06,-0.72071089E-07,-0.30750441E-05, 0.00000000E+00, 0.00000000E+00,-0.50350145E-05, 0.00000000E+00, 0.00000000E+00, 0.16050175E-02, 0.29695790E-01, 0.17915106E+15, 0.57424923E-08, 0.33860110E-05
