CAMX IPR data extraction by EXT_IPR,CAMx v3.10 OTAG Test problem July 07                                            
The header from the first CAMx IPR file follows: 
     95188,      0.00,     95189,      0.00
Number of grids: ,         2
x-origin,y-origin,# cols,# rows,x-width,y-width
  -99.0000,   26.0000,        64,        63,    0.5000,    0.3333
  -91.8333,   32.1110,       137,       110,    0.1667,    0.1111
Number of species: ,        15
NO        
NO2       
O3        
PAR       
TOL       
ETH       
OLE       
PAN       
ISOP      
XYL       
FORM      
ALD2      
HNO3      
NXOY      
NTR       
Number of sub-domains: ,         2
grid #,I-begin,I-end,J-begin,J-end,Layer-begin,Layer-end
         1,         8,        12,         9,        13,         1,         5
         2,       107,       110,        78,        82,         1,         7
Number of processes: ,        24
Initial concentration    
Chemistry                
Area emissions           
Point source emissions   
Plume-in-Grid change     
West boundary advection  
East boundary advection  
South boundary advection 
North boundary advection 
Bottom boundary advection
Top boundary advection   
Dilution in the vertical 
West boundary diffusion  
East boundary diffusion  
South boundary diffusion 
North boundary diffusion 
Bottom boundary diffusion
Top boundary diffusion   
Dry deposition           
Wet deposition           
Fastaero                 
Final concentration      
Units conversion         
Average cell volume      
End of the CAMx IPR file header.
EXT_IPR extracted data for the following cells:  
grid #,I-begin,I-end,J-begin,J-end,Layer-begin,Layer-end
         2,       107,       110,        78,        82,         1,         7
The extracted data follow: 
Date,Time,Species,Initial concentration    ,Chemistry                ,Area emissions           ,Point source emissions   ,Plume-in-Grid change     ,West boundary advection  ,East boundary advection  ,South boundary advection ,North boundary advection ,Bottom boundary advection,Top boundary advection   ,Dilution in the vertical ,West boundary diffusion  ,East boundary diffusion  ,South boundary diffusion ,North boundary diffusion ,Bottom boundary diffusion,Top boundary diffusion   ,Dry deposition           ,Wet deposition           ,Fastaero                 ,Final concentration      ,Units conversion         ,Total Volume             ,Absolute Error,Relative Error
     95188,    100.00,NO        , 0.49979481E-04,-0.53908563E+00, 0.27802035E+00, 0.24440445E+00, 0.23503035E-01,-0.20704832E-03,-0.41249841E-02, 0.12138675E-02,-0.34446628E-02, 0.00000000E+00, 0.81102485E-07, 0.00000000E+00,-0.62778636E-04,-0.99449775E-04,-0.73906638E-04,-0.51844992E-04, 0.00000000E+00, 0.00000000E+00,-0.41688181E-04, 0.00000000E+00, 0.00000000E+00, 0.10123650E-11, 0.29579943E-01, 0.13871706E+14, 0.22661210E-06, 0.42036382E-06
     95188,    100.00,NO2       , 0.86571038E-01, 0.45103309E+00, 0.30807346E-01, 0.27156055E-01, 0.18522179E-01, 0.21685334E-01,-0.41988708E-01, 0.30562008E-01,-0.75502738E-01, 0.00000000E+00, 0.59612998E-04, 0.00000000E+00,-0.32456560E-03,-0.51633012E-03,-0.25577607E-03,-0.35266019E-03, 0.00000000E+00, 0.00000000E+00,-0.19187165E-02, 0.00000000E+00, 0.00000000E+00, 0.54553783E+00, 0.29579943E-01, 0.13871706E+14, 0.69261483E-06, 0.15356187E-05
     95188,    100.00,O3        , 0.35043316E+02,-0.56617153E+00, 0.00000000E+00, 0.00000000E+00,-0.50089214E-01, 0.10876386E+02,-0.95634127E+01, 0.10902456E+02,-0.12143653E+02, 0.00000000E+00, 0.18203685E-01, 0.00000000E+00, 0.31997752E-03, 0.53712976E-03, 0.25787833E-03, 0.39787215E-03, 0.00000000E+00, 0.00000000E+00,-0.56891780E-01, 0.00000000E+00, 0.00000000E+00, 0.34461655E+02, 0.29579943E-01, 0.13871706E+14,-0.97378984E-06, 0.27788174E-07
     95188,    100.00,PAR       , 0.31147366E+01,-0.82243781E-03, 0.11099306E+01, 0.15642313E-01, 0.00000000E+00, 0.96795726E+00,-0.86641979E+00, 0.10001394E+01,-0.11626636E+01, 0.00000000E+00, 0.16177722E-02, 0.00000000E+00,-0.69196924E-03,-0.72927680E-03,-0.96531288E-03,-0.41344378E-03, 0.00000000E+00, 0.00000000E+00,-0.77588652E-03, 0.00000000E+00, 0.00000000E+00, 0.41765404E+01, 0.29579943E-01, 0.13871706E+14,-0.19557790E-05, 0.62791156E-06
     95188,    100.00,TOL       , 0.61151264E-02,-0.70923384E-05, 0.50087344E-01, 0.58141840E-03, 0.00000000E+00, 0.19395684E-02,-0.21086421E-02, 0.27873456E-02,-0.48619928E-02, 0.00000000E+00, 0.31765856E-05, 0.00000000E+00,-0.32741813E-04,-0.27628477E-04,-0.54052060E-04,-0.20395544E-04, 0.00000000E+00, 0.00000000E+00,-0.13445971E-03, 0.00000000E+00, 0.00000000E+00, 0.54266527E-01, 0.29579943E-01, 0.13871706E+14,-0.44684779E-06, 0.89213709E-05
     95188,    100.00,ETH       , 0.53784354E-02,-0.10270633E-03, 0.41427109E-01, 0.14668357E-02, 0.00000000E+00, 0.17525491E-02,-0.20748612E-02, 0.25775575E-02,-0.54867850E-02, 0.00000000E+00, 0.28008747E-05, 0.00000000E+00,-0.35228906E-04,-0.45168676E-04,-0.35628360E-04,-0.14008627E-04, 0.00000000E+00, 0.00000000E+00,-0.26554095E-04, 0.00000000E+00, 0.00000000E+00, 0.44784669E-01, 0.29579943E-01, 0.13871706E+14, 0.32102787E-06, 0.77492223E-05
     95188,    100.00,OLE       , 0.10119352E-05,-0.75681030E-03, 0.36929917E-01, 0.83717145E-03, 0.00000000E+00, 0.21070991E-03,-0.43668202E-03, 0.13859733E-02,-0.30413405E-02, 0.00000000E+00, 0.51169219E-09, 0.00000000E+00,-0.15921296E-04,-0.25770905E-04,-0.34745783E-04,-0.57599314E-05, 0.00000000E+00, 0.00000000E+00,-0.22882559E-04, 0.00000000E+00, 0.00000000E+00, 0.35024989E-01, 0.29579943E-01, 0.13871706E+14, 0.11860298E-06, 0.32115690E-05
     95188,    100.00,PAN       , 0.38797591E-01, 0.40777214E-03, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00, 0.12085949E-01,-0.10659096E-01, 0.12134734E-01,-0.13575613E-01, 0.00000000E+00, 0.20055590E-04, 0.00000000E+00,-0.35439644E-07,-0.49263921E-07,-0.32872073E-07,-0.23373719E-07, 0.00000000E+00, 0.00000000E+00,-0.27875785E-04, 0.00000000E+00, 0.00000000E+00, 0.39183378E-01, 0.29579943E-01, 0.13871706E+14, 0.39440901E-09, 0.10165811E-07
     95188,    100.00,ISOP      , 0.10119352E-05,-0.60507213E-04, 0.13504144E-03, 0.00000000E+00, 0.00000000E+00, 0.34495932E-06,-0.21917551E-05, 0.22207691E-05,-0.86758264E-05, 0.00000000E+00, 0.52557686E-09, 0.00000000E+00,-0.30788378E-07,-0.19251046E-06,-0.19413410E-07,-0.89536393E-07, 0.00000000E+00, 0.00000000E+00,-0.59792399E-07, 0.00000000E+00, 0.00000000E+00, 0.66853157E-04, 0.29579943E-01, 0.13871706E+14, 0.36022285E-09, 0.26674986E-05
     95188,    100.00,XYL       , 0.10119352E-05,-0.14119715E-04, 0.32455258E-01, 0.11451957E-02, 0.00000000E+00, 0.14008064E-04,-0.49016933E-03, 0.46387737E-03,-0.21145456E-02, 0.00000000E+00, 0.52476035E-09, 0.00000000E+00,-0.10850969E-04,-0.30358107E-04,-0.16160182E-04,-0.17512453E-04, 0.00000000E+00, 0.00000000E+00,-0.11955068E-03, 0.00000000E+00, 0.00000000E+00, 0.31265881E-01, 0.29579943E-01, 0.13871706E+14,-0.20683437E-06, 0.63729076E-05
