HOCl Photolysis
!Data from:
!Chemical Kinetics and Photochemical Data for Use in 
!Stratospheric Modeling (Rep. 97-4), Jet Propulsion 
!Laboratory, Pasadena, CA (1997)
!
!Assume these are point values (not specified in 
!data source)
!
!Wavelength (um)    sigma (cm2)    quantum yield
FAC=1.0E-20
0.2     7.1     1.
0.202   6.1     1.
0.204   5.6     1.
0.206   5.4     1.
0.208   5.5     1.
0.21    5.7     1.
0.212   6.1     1.
0.214   6.6     1.
0.216   7.5     1.
0.218   8.4     1.
0.22    9.7     1.
0.222   10.9    1.
0.224   12.2    1.
0.226   13.5    1.
0.228   15.     1.
0.23    16.4    1.
0.232   17.7    1.
0.234   18.7    1.
0.236   19.7    1.
0.238   20.3    1.
0.24    20.7    1.
0.242   21.     1.
0.244   20.5    1.
0.246   19.6    1.
0.248   18.6    1.
0.25    17.3    1.
0.252   15.9    1.
0.254   14.6    1.
0.256   13.2    1.
0.258   11.8    1.
0.26    10.5    1.
0.262   9.3     1.
0.264   8.3     1.
0.266   7.4     1.
0.268   6.6     1.
0.27    6.      1.
0.272   5.5     1.
0.274   5.2     1.
0.276   4.9     1.
0.278   4.8     1.
0.28    4.7     1.
0.282   4.8     1.
0.284   4.8     1.
0.286   4.9     1.
0.288   5.1     1.
0.29    5.3     1.
0.292   5.4     1.
0.294   5.6     1.
0.296   5.8     1.
0.298   5.9     1.
0.3     6.      1.
0.302   6.      1.
0.304   6.1     1.
0.306   6.      1.
0.308   6.      1.
0.31    5.9     1.
0.312   5.7     1.
0.314   5.6     1.
0.316   5.4     1.
0.318   5.1     1.
0.32    4.9     1.
0.322   4.6     1.
0.324   4.3     1.
0.326   4.2     1.
0.328   3.8     1.
0.33    3.5     1.
0.332   3.3     1.
0.334   3.1     1.
0.336   2.7     1.
0.338   2.5     1.
0.34    2.4     1.
0.342   2.1     1.
0.344   1.8     1.
0.346   1.8     1.
0.348   1.7     1.
0.35    1.5     1.
0.352   1.3     1.
0.354   1.3     1.
0.356   1.2     1.
0.358   1.      1.
0.36    0.8     1.
0.362   1.      1.
0.364   1.      1.
0.366   0.9     1.
0.368   0.8     1.
0.37    0.8     1.
0.372   1.      1.
0.374   0.8     1.
0.376   0.8     1.
0.378   0.6     1.
0.38    0.8     1.
